text,date,newspaper,likes,retweets,lang,period
"Breaking News: McDonald’s is selling its business in Russia after 32 years in the country, where it served as a potent symbol of U.S.-style capitalism.
https://t.co/mDJioTe5Al",2022-05-16 10:04:45+00:00,nytimes,3039,667,en,war
"A 9-year-old girl was found dead in her Brooklyn home on Sunday afternoon with cuts and bruises to her head and bite marks on her back, the police said. https://t.co/y2c6OMixiY",2022-05-16 10:00:11+00:00,nytimes,112,36,en,war
"Renault agreed to sell its 68% stake in Russia’s biggest carmaker to a state-backed entity. The deal would allow Renault, the Western carmaker that is most exposed to Russia’s market, to buy back its stake if it chooses to return to the country.
https://t.co/AsyRnNOJBA",2022-05-16 09:49:03+00:00,nytimes,363,98,en,war
"Multiple sclerosis is the narrative line that Selma Blair imposes in “Mean Baby,” her new memoir, our reviewer writes. “The illness that attacks her spine is the spine of her story, offering perspective alongside structure.” https://t.co/ym2cRYU5uR",2022-05-16 09:45:05+00:00,nytimes,160,28,en,war
"The self-declared republic of Transnistria, on the Ukraine border, has been steered by Moscow for decades. During a rare visit, a reporter and photographer get an inside look into how it operates, and hear from Transnistrians their fears of war.

https://t.co/qgRsrYlGL8",2022-05-16 09:30:09+00:00,nytimes,137,35,en,war
"Many families in rural Australia are still rebuilding from bush fires over two years ago. If the opposition Labor Party wins the country's election on Saturday, it could be in part because once-conservative towns have shifted their allegiance out of anger. https://t.co/2RYmiqhrUx",2022-05-16 09:00:02+00:00,nytimes,123,32,en,war
"Senator Chris Van Hollen of Maryland is recovering from “a minor stroke,” he announced Sunday. He said that there would be “no long-term effects or damage,” but that he would remain under observation for a few days. https://t.co/te7MP4ii2a",2022-05-16 08:26:03+00:00,nytimes,142,53,en,war
"With summer approaching, Rome will be alive with reopened museums, natural wine spots, a kitsch-cool hotel with a roof bar and a citywide music festival. https://t.co/AVwC6ArDwo",2022-05-16 07:25:02+00:00,nytimes,285,38,en,war
"How can you stop snoring?

This sleep-disrupting problem can be caused by a variety of things, but experts say there are ways to find relief. https://t.co/MqgdAmT71J",2022-05-16 06:25:05+00:00,nytimes,218,38,en,war
"The subdivision Trade Winds Beaches, which houses vacation homes off the coast of North Carolina, has become a symbol of the effects of rising oceans. Sea levels there have risen roughly one inch every five years, with climate change as one key reason. https://t.co/wlmanhiOa1",2022-05-16 05:25:02+00:00,nytimes,368,109,en,war
"To find dishwashers that can clean seriously crusty dishes quietly and reliably, @wirecutter tested more than a dozen major brands, talked to manufacturers and interviewed experts, including a former dishwasher engineer. https://t.co/pRO3tIPX6e",2022-05-16 05:00:14+00:00,nytimes,137,21,en,war
"Looking to make the tastiest possible vegetarian food at home? Chef and writer Samin Nosrat will speak with The New York Times’s @tejalrao and @emilyweinstein at a virtual event on Tuesday, offering guidance on readers’ vegetarian home cooking challenges. https://t.co/RKiSb3k8np",2022-05-16 04:25:05+00:00,nytimes,202,38,en,war
"Australia’s Covid death rate sits at one-tenth of America’s, putting the nation of 25 million people near the top of global rankings in the protection of life. Both countries share similar demographics, but their rates point to different cultures of trust. https://t.co/VQwzMwytVB",2022-05-16 03:25:06+00:00,nytimes,635,198,en,war
"A gunman who opened fire inside a Southern California church on Sunday, killing one person and critically wounding four others, was overpowered by congregants who then hogtied him, preventing further bloodshed, the authorities said. https://t.co/nasEllTQe5",2022-05-16 02:31:49+00:00,nytimes,611,131,en,war
Somalia is about to get its next leader on Sunday in an election that has been delayed for almost two years. No fewer than 38 candidates registered to unseat the incumbent president. But many residents wonder if a new administration will make a difference. https://t.co/XO3fpKwXZ1,2022-05-16 02:25:06+00:00,nytimes,163,41,en,war
"""Moon Knight"" was a risk for Oscar Isaac, even though his résumé includes some of the biggest fantasy franchises Hollywood has made, including ""Star Wars"" and ""X-Men."" He explained why, in the end, playing the film's title character felt right. https://t.co/g5AtxBSYGG",2022-05-16 02:15:04+00:00,nytimes,634,57,en,war
"After the Supreme Court's draft opinion leaked, groups known as decentralized autonomous organizations are floating ideas for an abortion-focused DAO, to provide money to women in states where abortion services may soon be severely restricted or banned. https://t.co/xLw3ju7UzZ",2022-05-16 01:25:05+00:00,nytimes,250,53,en,war
Lunar watchers throughout the U.S. can watch the moon start to turn a copper-red color at [around] 11:30 p.m. Eastern Time. Here’s where and when to watch. https://t.co/uhga0wrsvU,2022-05-16 00:55:02+00:00,nytimes,508,137,en,war
"Two classmates spoke of the gunman, who carried out the Buffalo shooting, and his behavior leading up to their graduation last year, including how he wore a full hazmat suit to class once school resumed in person. https://t.co/D5IvkBRReu",2022-05-16 00:25:01+00:00,nytimes,322,84,en,war
Democrats are vowing to push through domestic terrorism legislation to improve intelligence sharing and coordination between law enforcement agencies following the mass shooting in Buffalo — despite growing Republican opposition. https://t.co/StK0HAbMwb,2022-05-16 00:10:03+00:00,nytimes,758,181,en,war
"In this southwestern corner of North Carolina, a largely working-class and Republican stronghold, it seems as if nearly everyone has made up his or her mind on Rep. Madison Cawthorn, who was once seen as the future of the Republican Party. https://t.co/ZIXH42z0SU",2022-05-15 23:55:03+00:00,nytimes,108,19,en,war
"An undocumented Mexican woman, an undocumented Mexican immigrant, a Lebanese student and an American-born Syrian: They aided investigators after the worst subway attack in decades. Now, they're seeking protection from the nation’s immigration system. https://t.co/iK2yUOpfnj",2022-05-15 23:25:02+00:00,nytimes,601,212,en,war
"Kathy Barnette, a Republican Senate candidate in Pennsylvania, on Sunday sought to downplay her past Islamophobic messages on social media, telling Fox News that some were “not even full thoughts,” but rather, prompts intended to facilitate a conversation. https://t.co/Qpgv6tGetu",2022-05-15 23:10:04+00:00,nytimes,127,47,en,war
"Shoppers running routine errands and four grocery store employees, including a security guard, were among those shot in Buffalo, as more information about victims emerged on Sunday from officials and relatives. Here's what we know about the victims. https://t.co/88zPe7dgYq",2022-05-15 22:55:05+00:00,nytimes,254,72,en,war
President Vladimir Putin has zealously guarded family from scrutiny. Now sanctions are cracking the wall of secrecy around him. https://t.co/sQS2661u4d,2022-05-15 22:25:00+00:00,nytimes,791,163,en,war
A group of strangers who saved an unconscious Florida driver on May 5 reunited on Friday after a video of the dramatic rescue circulated online. Watch: https://t.co/v9e6jBtC8o,2022-05-15 22:10:03+00:00,nytimes,502,69,en,war
Breaking News: Multiple victims were reported in a shooting at a Southern California church on Sunday. The Orange County Sheriff’s Department said a weapon that might have been involved in the shooting had been recovered and that one person was in custody. https://t.co/aieHucGzR7,2022-05-15 21:58:39+00:00,nytimes,753,368,en,war
"A day after one of the deadliest racist massacres in recent American history, law enforcement officials in New York went to the home of the accused gunman and delved into his mental state, as Gov. Kathy Hochul promised action on hate speech. https://t.co/g4sLa8Uzyn",2022-05-15 21:55:06+00:00,nytimes,304,91,en,war
