text,date,newspaper,likes,retweets,lang,period
"For top officials inside the Office of Management and Budget, the first warning of what was to come landed on June 19. Rob Blair, a top aide in the White House chief of staff's office, called after being informed that the president had a problem with the aid. https://t.co/cUVlYdxXSF",2019-12-29 22:11:24+00:00,nytimes,157,76,en,precovid
"Michael Bloomberg is spending millions each week in an online advertising onslaught that is guided by polling and data that he and his advisers believe provide unique insight into President Trump's vulnerabilities
https://t.co/gN5eFNlYka",2019-12-29 21:50:03+00:00,nytimes,302,81,en,precovid
"The intruder who burst into the home of a Hasidic rabbi during Hanukkah celebrations and wounded 5 people with a machete screamed ""I'll get you"" during the attack, a witness said
https://t.co/myEKIPjMFg",2019-12-29 21:30:06+00:00,nytimes,149,59,en,precovid
"The U.S. military struck 5 targets in Iraq and Syria controlled by an Iranian-backed paramilitary group on Sunday, in response to a rocket attack on Friday that killed an American contractor, the Pentagon said
https://t.co/j9OcSttjC1",2019-12-29 21:13:57+00:00,nytimes,141,71,en,precovid
"A ""POTUS-level decision."" This is the inside story of President Trump's demand to halt military assistance to Ukraine, and the price he was willing to pay to carry out his agenda.
https://t.co/mxOJexpeAu",2019-12-29 20:43:07+00:00,nytimes,1775,812,en,precovid
Dogs. Plants. Furniture. And a construction beam? Here are some of the weird and beautiful things seen on New York City's subway. https://t.co/LESVq5MdMe,2019-12-29 20:36:16+00:00,nytimes,837,148,en,precovid
"Update: The gunman was shot and killed by a member of security, and was one of the 2 people killed, officials said.
https://t.co/qOeYcPJpC9",2019-12-29 20:20:13+00:00,nytimes,161,72,en,precovid
"They met in 1943 as Jewish inmates at Auschwitz. They knew they would be separated but they planned a life together, a future outside of the concentration camp. When they were finally reunited 72 years later, he had one question to ask her.
https://t.co/SHpyl6c6i8",2019-12-29 20:10:22+00:00,nytimes,1350,307,en,precovid
"The terror group Al Shabab, suspected in the weekend attack that killed 79 people in Mogadishu, has proved resilient in recent years even as it lost territory, suffered high-level defections and faced increasing American airstrikes.
https://t.co/VxmoePTNqA",2019-12-29 19:50:02+00:00,nytimes,115,45,en,precovid
"A shooting at a church in White Settlement, Texas has left at least 2 people dead and 1 person critically wounded, authorities said
https://t.co/FF8hxh7tfP",2019-12-29 19:29:57+00:00,nytimes,331,194,en,precovid
"Newly disclosed records show how Chase Manhattan Bank and its then-chairman David Rockefeller worked behind the scenes to persuade the Jimmy Carter administration to admit the deposed shah of Iran to the U.S. in 1979
https://t.co/YYrF7jhk3I",2019-12-29 19:20:04+00:00,nytimes,312,144,en,precovid
"Samoa is lifting its 6-week state of emergency and reopening schools after a measles epidemic killed at least 81 people, many of them younger than 5
https://t.co/V93Ueypcam",2019-12-29 19:00:06+00:00,nytimes,164,82,en,precovid
"North Korea said on Sunday that a meeting of top party officials was in session. Analysts have warned that Kim Jong-un might end a moratorium on testing long-range missiles and nuclear weapons.
https://t.co/sI4Yp9jZx5",2019-12-29 18:40:08+00:00,nytimes,126,65,en,precovid
"""I sense there are 2 kinds of people: people who like ‘The West Wing’ and people who find that shows like ‘Veep’ and ‘House of Cards’ are much more realistic portrayals of how politics happen in the real world.""
https://t.co/7wYaqpSqFz",2019-12-29 18:21:05+00:00,nytimes,804,165,en,precovid
"Richard and Alma Shaver were happily married for 60 years. His whole life was about her, one daughter said. Then came Alzheimer's.
https://t.co/4xeX0lGfSn",2019-12-29 18:00:05+00:00,nytimes,290,65,en,precovid
"These charts from @UpshotNYT will give you all you need to know to watch this week's NFL games like a champ
https://t.co/WCFAN8VgtT",2019-12-29 17:40:07+00:00,nytimes,81,32,en,precovid
"A winter storm is moving toward the Northeast, but forecasters said most major airports will be spared from the worst of it
https://t.co/ORheuG9wos",2019-12-29 17:21:11+00:00,nytimes,189,55,en,precovid
It's the last week of the NFL season. Explore the full outlook for the playoffs — and see which teams still have a chance to make the postseason — with the @upshotnyt calculator. https://t.co/Q4AcTQBuxG,2019-12-29 17:00:20+00:00,nytimes,76,17,en,precovid
