text,date,newspaper,likes,retweets,lang,period
germany center destroy world war ii bereconstructedwithout bring dark history,2019-12,wsj,64,25,en,precovid
producer online content china order restrict socalled bad content exaggerated headline one encourage minor pursue unsafe act,2019-12,wsj,67,31,en,precovid
california andpgampesafely light deadly fire expert offer recommendation,2019-12,wsj,27,11,en,precovid
ceo bankruptcy bad wildfire california history story ofpgampe,2019-12,wsj,137,61,en,precovid
early look page weekend edition,2019-12,wsj,48,20,en,precovid
carlos ghosn curb bad nissan renault infighting,2019-12,wsj,55,10,en,precovid
filmmaker world make brilliantly cinematic feature industry undergo transformation,2019-12,wsj,88,18,en,precovid
ask interiordesign pro weigh decor trend go agree gray die,2019-12,wsj,101,23,en,precovid
woman athlete coach ditch waitandsee diplomacy flex influence insist feel deserve,2019-12,wsj,98,19,en,precovid
review huawei grant credit facility tax break form financial assistance detail time huawei access billion support,2019-12,wsj,621,615,en,precovid
world great deliberative body long deliberate write,2019-12,wsj,66,15,en,precovid
airbnb employee suggest sign produce government id overrule inside airbnb struggle security,2019-12,wsj,30,16,en,precovid
deal breaker scare away evcurious fade away dan neil electric car,2019-12,wsj,95,23,en,precovid
government try tax whiskey scottish distillery start operate secretly night give rise word moonshine,2019-12,wsj,348,118,en,precovid
american university watch recent move china fear beginning push limit academic freedom country branch,2019-12,wsj,63,24,en,precovid
don imus controversial radio host coarse musing push boundary frequently draw widespread condemnation offend die,2019-12,wsj,83,20,en,precovid
downgrade leverage loan pick sign fragility booming corporate debt market,2019-12,wsj,58,22,en,precovid
spotify stop sell political advertisement early lack appropriate tool review,2019-12,wsj,169,32,en,precovid
north korea close official ask perennial question,2019-12,wsj,45,14,en,precovid
fundraising drop sen elizabeth warren presidential campaign force pull plan organize,2019-12,wsj,128,29,en,precovid
taliban leadership give goahead temporary truce possibly clear way troop drawdown talk afghan government,2019-12,wsj,121,55,en,precovid
bill clinton start trend voter give high standard white house write,2019-12,wsj,123,38,en,precovid
rocket attack iraqi base kill contractor wound troop official,2019-12,wsj,104,43,en,precovid
meltdown hypothermia patent infringement suit challenge icestructure business,2019-12,wsj,41,8,en,precovid
maine go stateissued vanity license plate fourletter word,2019-12,wsj,54,14,en,precovid
stone marten type weasel wipe europe invade car engine eat wiring,2019-12,wsj,95,21,en,precovid
tv rating nba game season drop attribute injury keep league big star sideline,2019-12,wsj,70,12,en,precovid
difficult build maintain elaborate space contain passion obsession owner,2019-12,wsj,69,16,en,precovid
support gay marriage wsjnbc poll period rise tandem americans know gay lesbian,2019-12,wsj,56,11,en,precovid
boeing google corporate america trust problem,2019-12,wsj,74,25,en,precovid
house republicans rejection impeachment democrats fanaticism fear president trump write,2019-12,wsj,46,10,en,precovid
company build concept platformfrom facebook tube twitter amazon uber airbnbwere able use term springboard enormous growth wealth reckoning responsibility,2019-12,wsj,92,35,en,precovid
trust money warren buffett satoshi nakamoto answer depend old,2019-12,wsj,70,25,en,precovid
company lead revolution technology business daily life past long mere companiesthey've go bigtech superstar black hole,2019-12,wsj,43,24,en,precovid
lawsuit file survivor troop contractor personnel kill afghanistan allege major contractor involve reconstruction project allegedly pay taliban protection,2019-12,wsj,80,44,en,precovid
fashion editor columnist debate merit craze winterproof sneaker,2019-12,wsj,33,3,en,precovid
ice castle sort date 1890 today build cold hard cash,2019-12,wsj,31,10,en,precovid
scientist increasingly realize wire focus bad thing far good resolution actually work lowbad diet,2019-12,wsj,123,48,en,precovid
wear watch fancy boss look watch etiquette work,2019-12,wsj,150,41,en,precovid
alysha butler major history institute national teacher see subject continuous debate,2019-12,wsj,68,16,en,precovid
time go start realize different rest guy kevin durant time,2019-12,wsj,49,9,en,precovid
elizabeth warren propose transformation american life exceed socialist dreamer century ago imagine summary,2019-12,wsj,69,20,en,precovid
major car brand startup supplier investor join electric vehicle revolution auto columnist dan neil explain turning point ev,2019-12,wsj,94,34,en,precovid
decade usher tidal wave wealth lead supertall condo building megamansion million home sale,2019-12,wsj,53,17,en,precovid
people need kidney liver heart lung shorten wait take organ infect hepatitis expect recovery,2019-12,wsj,64,25,en,precovid
mandalorian reach finale eightepisode season step retro tv playbook disney series follow,2019-12,wsj,54,10,en,precovid
minute estimate million query type google company exert increase control result,2019-12,wsj,75,34,en,precovid
republicans duty spare nation damage precedent nancy pelosi set write,2019-12,wsj,164,40,en,precovid
boomer flood market home want buy,2019-12,wsj,171,58,en,precovid
great political polarization drive social change emerge theme steet journalnbc polling,2019-12,wsj,32,12,en,precovid
doordash uber lyft wework parent industry player raise billion investor subsidize company cost profitable,2019-12,wsj,75,33,en,precovid
iraq afghanistan different col randy hoffman daring transform lifeand america view war,2019-12,wsj,83,21,en,precovid
promise voter historic achievement candidacy netanyahu relationship trump deliver rightwing achievement believe reach,2019-12,wsj,61,25,en,precovid
rankandfile worker get big raise boss help short supply labor minimumwage rise increase poaching,2019-12,wsj,182,91,en,precovid
martin shkreli prison todo list pushup row run pharmaceutical company contraband smartphone,2019-12,wsj,59,25,en,precovid
lack progress deal infrastructure run punchline washington dysfunction pelosi want send infrastructure,2019-12,wsj,72,30,en,precovid
plane people board crash shortly take kazakhstan kill injure dozen,2019-12,wsj,22,19,en,precovid
postchristma reading suggest consumer spend healthy clip amazon order hit high tiffany boost sale,2019-12,wsj,50,12,en,precovid
college board assign score sat taker capture socioeconomic background join debate race class admission,2019-12,wsj,68,34,en,precovid
female athlete coach ditch waitandsee diplomacy flex influence insist feel deserve,2019-12,wsj,110,27,en,precovid
executive japan resign en masse responsibility improper lifeinsurance sale black mark world big privatization project,2019-12,wsj,50,29,en,precovid
stockpicke fund manager willing lend share investor include short seller bet investment,2019-12,wsj,22,4,en,precovid
need ast louis man buy house sicily whatthe shrink town need,2019-12,wsj,134,29,en,precovid
nuclear verdict feel like 1970 insurance executive,2019-12,wsj,27,11,en,precovid
president trump criticize russia syria iran intensify attack rebel stronghold northwestern syria force ten thousand flee turkish border,2019-12,wsj,51,28,en,precovid
